d,res,nq,all,init,qse,smt
3,true,9,0.08737802505493164,0.000514984130859375,0.08686304092407227,0.025614023208618164
5,true,25,0.14038515090942383,0.001171112060546875,0.13921403884887695,0.07563591003417969
7,true,49,0.21342992782592773,0.0019550323486328125,0.21147489547729492,1.5122339725494385
9,true,81,0.35216403007507324,0.004658937454223633,0.3475050926208496,81.82724809646606
