nq all init qse smt
32 0.2200779914855957 0.0011548995971679688 0.18635797500610352 0.03256511688232422
50 0.39740896224975586 0.0017740726470947266 0.27100491523742676 0.12462997436523438
72 0.7065000534057617 0.0027060508728027344 0.4160628318786621 0.2877311706542969
98 1.4713239669799805 0.007524013519287109 0.45941615104675293 1.0043838024139404
128 7.427901029586792 0.005320072174072266 0.5414090156555176 6.881171941757202
162 8.90678095817566 0.006623029708862305 0.6494460105895996 8.250711917877197
200 3.1518399715423584 0.00836491584777832 0.7681698799133301 2.37530517578125
242 11.505738019943237 0.011034011840820312 0.9229772090911865 10.57172679901123
288 5.9205310344696045 0.013669967651367188 1.0710549354553223 4.835806131362915
338 210.0386860370636 0.016524076461791992 1.270719051361084 208.75144290924072
392 14.738175868988037 0.02123093605041504 1.4852230548858643 13.231721878051758
450 28.303881883621216 0.024031877517700195 1.6588141918182373 26.62103581428528
512 37.34139084815979 0.03975987434387207 2.0125811100006104 35.28904986381531
578 49.68639588356018 0.03530597686767578 2.2247440814971924 47.42634582519531
648 54.838398933410645 0.05138587951660156 2.41369891166687 52.37331414222717
722 106.46843886375427 0.04946398735046387 2.7003419399261475 103.71863293647766
800 170.36373782157898 0.0668489933013916 3.0479729175567627 167.24891591072083
882 118.74087691307068 0.07819199562072754 3.2994909286499023 115.36319398880005
