d,res,nq,all,init,config,cons_gen,cons_sol
3,true,9,0.07658195495605469,0.00010800361633300781,0.07036709785461426,0.0008628368377685547,0.005244016647338867
5,true,25,0.11783289909362793,0.00011682510375976562,0.1119229793548584,0.001535177230834961,0.004257917404174805
7,true,49,0.1771390438079834,0.00011515617370605469,0.16834282875061035,0.003979206085205078,0.004701852798461914
9,true,81,0.27626800537109375,0.00015401840209960938,0.24334502220153809,0.011961936950683594,0.02080702781677246
11,true,121,0.399245023727417,0.00017309188842773438,0.3753468990325928,0.019749164581298828,0.003975868225097656
