d,res,nq,all,init,config,cons_sol,cons_gen
3,false,9,0.12858080863952637,0.00010991096496582031,0.09821891784667969,0.011349916458129883,0.018902063369750977
5,false,25,0.3434579372406006,0.00015497207641601562,0.2410120964050293,0.07702398300170898,0.02526688575744629
7,false,49,2.4585587978363037,0.00016188621520996094,0.40072202682495117,2.001462936401367,0.05621194839477539
9,false,81,3.7029669284820557,0.0002589225769042969,0.6292259693145752,3.010190963745117,0.06329107284545898
11,false,121,5.2715229988098145,0.0003790855407714844,0.9500858783721924,4.23389196395874,0.08716607093811035
