
d,res,nq,all,init,config,cons_sol,cons_gen
3,true,9,0.07579898834228516,0.00013494491577148438,0.0567469596862793,0.003612041473388672,0.015305042266845703
5,true,25,0.16406607627868652,8.487701416015625e-5,0.09995698928833008,0.046572208404541016,0.017452001571655273
7,true,49,1.234342098236084,0.00011992454528808594,0.17691612243652344,1.0381910800933838,0.019114971160888672
9,true,81,58.25912809371948,0.0001251697540283203,0.28328394889831543,57.94704294204712,0.02867603302001953
11,true,121,884.3057069778442,0.00023698806762695312,0.38910698890686035,883.873095035553,0.04326796531677246
13,true,169,1181.134556055069,0.0005559921264648438,0.7968981266021729,1180.2513799667358,0.08572196960449219
