nq all init qse smt
50 0.13055109977722168 0.0007939338684082031 0.06118321418762207 0.0685739517211914
100 0.2457880973815918 0.0011851787567138672 0.10335803031921387 0.14124488830566406
150 0.5117149353027344 0.0018510818481445312 0.14248085021972656 0.3673830032348633
200 2.3334250450134277 0.002418041229248047 0.18698692321777344 2.1440200805664062
250 1.8169190883636475 0.003358125686645508 0.24167394638061523 1.5718870162963867
300 3.6509029865264893 0.003854036331176758 0.2739720344543457 3.373076915740967
350 3.0058159828186035 0.004433155059814453 0.3111870288848877 2.6901957988739014
400 4.45346999168396 0.0059490203857421875 0.3493621349334717 4.098158836364746
450 8.733361959457397 0.006925821304321289 0.4022700786590576 8.324166059494019
500 12.099674940109253 0.007547855377197266 0.43138813972473145 11.660738945007324
550 7.493134021759033 0.00880289077758789 0.47557711601257324 7.008754014968872
600 5.281296014785767 0.021652936935424805 0.5172860622406006 4.742357015609741
650 6.809964179992676 0.020232200622558594 0.5554440021514893 6.234287977218628
700 27.242897987365723 0.021612882614135742 0.6000051498413086 26.62127995491028
750 15.120362997055054 0.014078855514526367 0.6615490913391113 14.444735050201416
800 15.004144191741943 0.01445317268371582 0.6936228275299072 14.29606819152832
850 22.667953968048096 0.02769184112548828 0.7275979518890381 21.91266417503357
900 23.35881209373474 0.01837611198425293 0.7882709503173828 22.552165031433105
950 19.280907154083252 0.029900074005126953 0.8352339267730713 18.415773153305054
1000 29.3526771068573 0.030944108963012695 0.881152868270874 28.440580129623413
1050 27.834522008895874 0.02406597137451172 1.0365610122680664 26.773895025253296
1100 53.92234206199646 0.10925912857055664 0.9607479572296143 52.85233497619629
1150 27.674268007278442 0.03474092483520508 0.9931890964508057 26.64633798599243
1200 49.5402889251709 0.039093017578125 1.0448238849639893 48.456372022628784
1250 49.48133397102356 0.0375218391418457 1.0913150310516357 48.35249710083008
1300 37.678762912750244 0.04446911811828613 1.1425559520721436 36.491737842559814
1350 44.781188011169434 0.041378021240234375 1.1826000213623047 43.557209968566895
1400 45.96494507789612 0.04860401153564453 1.271265983581543 44.64507508277893
